horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
C517,ALL FOR ST PAUL'S,AUS / 7,St Paul's Boys Syndicate,PPG,Bay / Gelding,Magnus,So Enticing,Ice Point,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C517
H215,HELENE FEELING,IRE / 4,Helene Syndicate,PP,Bay / Gelding,Sioux Nation,Cynthia Calhoun,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H215
H092,SUPERB CAPITALIST,AUS / 4,Li Cham Kuen & Li Ming Choi,PPG,Bay / Gelding,Capitalist,Shamana,Shamardal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H092
H303,TOMODACHI KOKOROE,AUS / 5,Tak Sum Syndicate,PP,Bay / Gelding,Written Tycoon,Rainbeam,Fastnet Rock,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H303
D172,KURPANY,FR / 7,Brian Leung Hung Tak & Sophie Leung Lau Yau Fun,PP,Chestnut / Gelding,Mayson,One River,Stormy River,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D172
E306,C P BRAVE,IRE / 7,"Mr & Mrs Leung Lun, Paul Leung Yuk Hung and The Hon Leung Kenneth Yuk Wai",PP,Bay / Gelding,Zoffany,Starship,Galileo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E306
H113,OUTGATE,GB / 5,Martin Siu Kim Sun,PP,Grey / Gelding,Outstrip,Penny Drops,Invincible Spirit,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H113
G010,RUNNING GLORY,NZ / 6,Connie Wong Wai Ching & Vivian Wong Man Lei,PPG,Bay / Gelding,Kermadec,Hannah Mary,Dubawi,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G010
H139,THE BEST PEACH,IRE / 5,Harry Tsang Cheung Hin,PP,Chestnut / Gelding,Twilight Son,Poyle Meg,Dansili,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H139
G317,ADEFILL,AUS / 5,Tam Kwok Cheung,PPG,Bay / Gelding,Deep Field,Dijonnaise,I Am Invincible,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G317
J195,YOUNG CHAMPION,IRE / 4,HKJC Racing Club Limited,PP,Chestnut / Gelding,Zoustar,Sharliyna,Pivotal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J195
E061,HARMONY N BLESSED,AUS / 7,"Cheung Ming Man, Cheung Ying Ho, Joseph Lee Chung Tak & Antonny Cheng King Chiu",PPG,Bay / Gelding,Magnus,Fly To Win,Danewin,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E061
G326,YELLOWFIN,AUS / 5,"Raymond Ng Wing Chiu, Choi Chi Wan & Soong Tze Man",PPG,Bay / Gelding,Territories,Clearly Foxy,Volponi,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G326
H109,CHILL CHIBI,NZ / 4,Dr Alex Lam Sai Keung & Chan Pui Fan,PPG,Bay / Gelding,Wrote,My Amazing Cool,Danroad,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H109
H175,CHIU CHOW SPIRIT,AUS / 4,Charlie Lam Leung Seng & Michael Lam Yau Keng,PP,Bay / Gelding,Zoustar,Pearl Star,Star Witness,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H175
J301,STUNNING PEACH,IRE / 3,Mahogany Syndicate,PP,Bay / Gelding,Wootton Bassett,A Mist Opportunity,Foxwedge,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J301
H452,ENSUED,USA / 4,Ada Wong Yin Man,PP,Bay / Gelding,Lemon Drop Kid,Alluvial Gold,Danehill Dancer,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H452
J130,UNBELIEVABLE,USA / 4,23/24 Frankie Lor Fu Chuen Trainer Syndicate,PP,Chestnut / Colt,Justify,Together Forever,Galileo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J130
H410,CALL ME GLORIOUS,AUS / 3,Philip Liu Chun Hang,PPG,Bay / Gelding,No Nay Never,Boomex,Exceed And Excel,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H410
J007,JAMES TAK,AUS / 3,"Tsang Hon Wah, Prof Cheung Ka Yue & Jacky Tsang Hin Yeung",PPG,Chestnut / Gelding,Headwater,Patois,Street Cry,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J007
G115,WOODFIRE BRO,NZ / 5,Kelvin Cheung Hoi Kay,PPG,Brown / Gelding,Echoes Of Heaven,Pico Turquino,Teofilo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G115
H294,BEAUTY WAVES,IRE / 4,Eleanor Kwok Law Kwai Chun,PP,Chestnut / Gelding,Starspangledbanner,Little Sweetheart,Lawman,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H294
J141,SING DRAGON,AUS / 4,The Rotary Club of Gd-HK-MA-GBA Syndicate,PP,Bay / Gelding,Written Tycoon,Secret Doubt,Not A Single Doubt,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J141
D489,CARROLL STREET,AUS / 6,"Winston Wong Ching Wah, Bobby Fong Kwok Wah, Raymond Tse Kwai Cheong & Yu Yik Choy",PPG,Bay / Gelding,Outreach,Brooklyn Rain,Manhattan Rain,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2019_D489
